new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,2,2,2,0,0,1024,9,164.541
1,0,2,0,0,1,4096,9,337.4748
1,0,2,1,1,0,512,0,164.8182
1,2,2,0,0,0,2048,1,162.2004
0,1,1,2,0,0,2048,9,337.4748
0,2,1,2,1,0,512,5,337.4748
0,1,2,1,0,1,512,0,31.4648
0,2,1,2,1,1,2048,0,337.4748
0,2,2,2,1,0,4096,9,165.7986
0,2,1,0,0,1,4096,0,337.4748
1,0,1,0,0,1,1024,1,337.4748
1,1,2,1,0,0,512,0,31.3498
0,2,1,0,1,0,512,1,165.6704
1,2,2,2,1,0,1024,5,165.5138
1,0,1,2,0,1,512,1,337.4748
1,1,2,2,0,1,4096,5,337.4748
0,0,1,1,0,0,512,5,337.4748
1,1,1,0,0,0,2048,9,337.4748
1,0,2,1,0,1,1024,0,163.0718
1,1,2,1,1,0,512,0,31.6506
1,0,2,2,1,0,1024,5,337.4748
0,1,1,0,1,1,2048,5,337.4748
0,2,2,1,0,1,4096,1,165.3172
0,0,1,2,0,0,2048,5,337.4748
1,2,2,2,1,1,512,1,163.6666
0,1,2,0,1,1,4096,1,337.4748
1,1,2,1,0,0,4096,5,337.4748
1,1,1,2,0,1,1024,0,337.4748
0,2,1,1,0,1,4096,9,337.4748
1,1,1,2,1,1,512,9,337.4748
0,0,2,1,1,0,1024,5,337.4748
1,2,2,2,0,1,512,0,337.4748
0,2,2,2,0,0,512,0,337.4748
0,2,1,0,0,0,1024,9,166.4434
0,0,2,0,0,1,4096,0,161.8262
1,2,2,2,1,1,512,0,337.4748
1,0,1,1,0,0,1024,9,337.4748
0,0,2,2,1,1,512,1,337.4748
1,1,2,2,0,1,512,0,31.8482
1,1,2,2,0,1,4096,0,32.3962
1,1,1,0,1,0,512,0,32.389
0,1,1,2,0,1,512,0,337.4748
0,1,2,2,1,1,512,1,337.4748
1,0,2,1,1,0,4096,5,337.4748
0,0,2,0,1,1,2048,0,165.9408
0,1,2,1,1,1,4096,5,337.4748
0,2,1,0,0,1,2048,0,337.4748
1,0,2,1,1,0,1024,9,337.4748
0,2,2,2,1,1,4096,9,165.688
1,1,1,2,1,1,4096,0,337.4748
0,1,1,2,1,1,4096,9,337.4748
0,1,1,2,0,1,1024,9,337.4748
0,1,2,2,0,1,512,1,337.4748
0,0,2,0,0,1,1024,9,337.4748
1,2,1,2,1,1,512,1,337.4748
0,2,1,2,0,0,4096,0,337.4748
0,1,1,0,1,1,2048,5,337.4748
1,1,2,0,1,1,1024,1,337.4748
1,1,1,0,1,1,2048,0,32.7488
1,2,2,2,0,0,512,5,165.3112
1,2,2,0,1,1,1024,1,164.6092
1,2,1,0,0,0,512,0,337.4748
0,0,2,1,0,0,512,5,337.4748
1,2,1,1,0,1,1024,0,337.4748
0,2,1,2,0,1,1024,1,337.4748
1,2,1,1,0,0,2048,0,337.4748
0,1,2,0,0,0,2048,1,337.4748
1,1,2,2,1,0,512,5,337.4748
1,2,1,0,0,0,1024,9,166.3772
0,2,1,1,0,0,2048,0,337.4748
1,0,1,1,0,1,512,0,337.4748
0,1,2,0,0,0,512,5,337.4748
1,0,2,2,0,1,2048,5,337.4748
0,1,2,0,0,0,4096,0,31.5282
1,0,1,1,0,1,2048,5,337.4748
1,0,1,2,1,0,4096,0,337.4748
0,2,2,1,0,1,1024,5,167.081
0,1,1,2,0,1,2048,9,337.4748
0,2,2,0,0,1,1024,1,165.314
0,0,1,0,0,1,4096,1,337.4748
1,2,1,2,1,1,4096,0,337.4748
0,2,2,1,0,1,2048,9,165.4474
1,2,2,0,1,1,2048,1,165.4646
0,1,2,1,1,0,512,1,337.4748
1,0,1,0,0,0,1024,1,337.4748
0,2,1,0,0,1,1024,5,167.144
0,1,1,0,1,0,512,9,337.4748
0,0,2,1,1,0,1024,1,337.4748
0,0,1,2,0,0,1024,1,337.4748
0,0,2,2,0,0,2048,5,337.4748
1,1,1,2,0,0,4096,5,337.4748
1,0,1,2,1,1,2048,1,337.4748
1,2,1,2,1,1,2048,0,337.4748
1,2,2,2,0,1,1024,5,165.774
0,0,1,0,0,0,1024,1,337.4748
1,1,1,2,0,1,2048,5,337.4748
0,1,1,1,1,1,1024,0,337.4748
0,1,1,1,1,1,2048,9,337.4748
0,1,1,1,0,1,2048,1,337.4748
0,0,1,0,0,1,4096,9,337.4748
